sample,fastq_1,fastq_2
5_a_Day4_Rep1,data/exon5/fastq/5_a_Day4_Rep1_downsampled.fastq.gz,
5_a_Day4_Rep2,data/exon5/fastq/5_a_Day4_Rep2_downsampled.fastq.gz,
5_a_Day4_Rep3,data/exon5/fastq/5_a_Day4_Rep3_downsampled.fastq.gz,
5_a_Day7_Rep1,data/exon5/fastq/5_a_Day7_Rep1_downsampled.fastq.gz,
5_a_Day7_Rep2,data/exon5/fastq/5_a_Day7_Rep2_downsampled.fastq.gz,
5_a_Day7_Rep3,data/exon5/fastq/5_a_Day7_Rep3_downsampled.fastq.gz,
5_a_Day10_Rep1,data/exon5/fastq/5_a_Day10_Rep1_downsampled.fastq.gz,
5_a_Day10_Rep2,data/exon5/fastq/5_a_Day10_Rep2_downsampled.fastq.gz,
5_a_Day10_Rep3,data/exon5/fastq/5_a_Day10_Rep3_downsampled.fastq.gz,
5_a_Day14_Rep1,data/exon5/fastq/5_a_Day14_Rep1_downsampled.fastq.gz,
5_a_Day14_Rep2,data/exon5/fastq/5_a_Day14_Rep2_downsampled.fastq.gz,
5_a_Day14_Rep3,data/exon5/fastq/5_a_Day14_Rep3_downsampled.fastq.gz,
5_a_Day21_Rep1,data/exon5/fastq/5_a_Day21_Rep1_downsampled.fastq.gz,
5_a_Day21_Rep2,data/exon5/fastq/5_a_Day21_Rep2_downsampled.fastq.gz,
5_a_Day21_Rep3,data/exon5/fastq/5_a_Day21_Rep3_downsampled.fastq.gz,
